PC1,PC2,PC3,PC4,PC5,PC6,Target
-5.16299118364586,-0.5419862675648486,0.22006246065307955,2.3579832999093306,1.0900548331229587,0.38097896838323125,138.9199981689453
-5.01101208965374,-0.5497884001279014,0.04170527584514569,0.7200922649570023,1.1414683508278638,0.30682124486530377,139.5
-4.8927726432792875,-0.4984467328593719,0.09555279774034958,0.9143841414421084,1.002279027403565,0.02624742104729276,134.8699951171875
-5.10917970157068,-0.7153330906713202,0.030174213110826707,0.28690757662261235,0.7587277612100722,-0.010732840634644395,146.8699951171875
-4.668416991581405,-0.011018873254592595,0.266224515943696,1.6975545522957778,0.8068452517153479,-0.6938166230357878,149.6999969482422
-4.256074303056487,0.08558203085047515,0.2062757512219969,0.9865713660063578,0.8070698141767265,-0.9231549145715118,148.27999877929688
-4.133325432958783,-0.006151403168590138,0.12381557253506605,0.20989623620354683,0.6486675945446467,-1.0174084227948343,150.0399932861328
-4.010078043343451,0.07757244181924068,0.2294887649422577,0.794734034730485,0.4800008018077088,-1.3509600811132765,148.7899932861328
-4.040620871000698,0.0006986578227602143,0.11493509173323146,-0.2803787915869498,0.36758919842446475,-1.4123792438988247,150.72000122070312
-4.053889844431096,0.10407187391474575,0.23104395996537544,0.34886572370769164,0.19924961012733924,-1.7469291732288879,151.2899932861328
-3.7901707395082673,0.2819096567989173,0.14523929366130872,0.1466583773375374,0.21352383011487994,-1.7070064728152485,148.00999450683594
-3.913322742042108,0.08511371808961665,0.059879186448906926,-0.6515048979269047,0.009941574778019,-1.7451670159900006,150.17999267578125
-3.648721353801121,1.0045793984473501,-0.35513571770854613,-0.8948016031167659,0.5822869035195997,-0.6445804855563227,151.07000732421875
-3.5566361415461123,1.0756231656045734,-0.2686159721386715,-0.5726394937829169,0.4342981930926831,-0.9437274686731142,148.11000061035156
-3.548641795139162,0.8398779135635707,-0.5359440764392629,-2.1462314577990655,0.37048371723316914,-0.95143303844069,144.22000122070312
-4.174693610294657,0.3414050433586266,-0.32746077045826316,-0.10604718421571097,0.17082051034667997,-1.0214890210587602,141.1699981689453
-4.5061650169571505,0.1331323079995598,-0.3097200407667451,0.3878315509990798,-0.2316668500460933,-1.1479031755046392,148.02999877929688
-4.360422430337469,0.48855736150989076,-0.2443693864142489,1.2320785226032414,-0.20914431859757712,-1.6907149944706663,148.30999755859375
-3.9589520526774598,0.37188908431670475,-0.45075060532623795,-0.08349379870866303,-0.02127378300626941,-1.7906994445783926,147.80999755859375
-4.202144133975766,-0.6780679430005646,-0.2789224815100413,-0.03071908559363095,1.1532763547102216,-1.0615773408902933,146.6300048828125
-4.243813434752565,-0.7582408973905033,-0.2885079946622403,0.08596130539959157,0.9083263146797996,-1.2570295341925835,142.91000366210938
-4.505188028607017,-1.0923741459558607,-0.23748514871946816,-0.2055242177189906,0.7034607432462359,-1.3586074814891018,140.94000244140625
-4.8556309206357025,-1.5927871730626706,-0.08778951023846668,0.13044809912185257,1.310858732473137,-0.6422464097124473,142.64999389648438
-4.7321787057610365,-1.516563778347272,-0.1243121730460363,-0.2590187646100107,1.233359170238051,-0.8609221279391708,142.16000366210938
-4.876635361664429,-1.5639008243546557,-0.10116487771818435,0.3087123728055721,0.9483324044298695,-1.1099657515192811,144.49000549316406
-4.701296044997791,-1.1004856004160346,-0.38048075005009524,0.11921225896750086,1.045310377887718,-0.9776842741828247,145.47000122070312
