,symbol,actual,predicted,date
78,RTX,120.52999877929688,119.772064,2024-11-21 00:00:00+00:00
79,RTX,120.7699966430664,120.21674,2024-11-22 00:00:00+00:00
80,HDB,64.5,64.6642,2024-10-28 00:00:00+00:00
81,HDB,64.62999725341797,64.295815,2024-10-29 00:00:00+00:00
82,HDB,64.16999816894531,64.6114,2024-10-30 00:00:00+00:00
83,HDB,63.029998779296875,63.521477,2024-10-31 00:00:00+00:00
84,HDB,63.20000076293945,62.984665,2024-11-01 00:00:00+00:00
85,HDB,62.5099983215332,62.683098,2024-11-04 00:00:00+00:00
86,HDB,64.23999786376953,63.925514,2024-11-05 00:00:00+00:00
87,HDB,64.45999908447266,64.183365,2024-11-06 00:00:00+00:00
88,HDB,63.75,63.544235,2024-11-07 00:00:00+00:00
89,HDB,64.08999633789062,63.544235,2024-11-08 00:00:00+00:00
90,HDB,64.5199966430664,64.54803,2024-11-11 00:00:00+00:00
91,HDB,62.13999938964844,62.95635,2024-11-12 00:00:00+00:00
92,HDB,61.380001068115234,61.366085,2024-11-13 00:00:00+00:00
93,HDB,61.90999984741211,62.003857,2024-11-14 00:00:00+00:00
94,HDB,61.900001525878906,61.58088,2024-11-15 00:00:00+00:00
95,HDB,62.31999969482422,62.260056,2024-11-18 00:00:00+00:00
96,HDB,63.150001525878906,62.850338,2024-11-19 00:00:00+00:00
97,HDB,63.31999969482422,63.423576,2024-11-20 00:00:00+00:00
98,HDB,63.58000183105469,63.349743,2024-11-21 00:00:00+00:00
99,HDB,64.5,64.585495,2024-11-22 00:00:00+00:00
100,AXP,271.4700012207031,269.92648,2024-10-28 00:00:00+00:00
101,AXP,270.42999267578125,268.1509,2024-10-29 00:00:00+00:00
102,AXP,274.0799865722656,273.6085,2024-10-30 00:00:00+00:00
103,AXP,270.0799865722656,274.20557,2024-10-31 00:00:00+00:00
104,AXP,272.69000244140625,274.31018,2024-11-01 00:00:00+00:00
105,AXP,270.19000244140625,268.31927,2024-11-04 00:00:00+00:00
106,AXP,275.94000244140625,272.22604,2024-11-05 00:00:00+00:00
107,AXP,295.1600036621094,290.01093,2024-11-06 00:00:00+00:00
108,AXP,286.82000732421875,289.35464,2024-11-07 00:00:00+00:00
109,AXP,287.6000061035156,289.26715,2024-11-08 00:00:00+00:00
110,AXP,292.9700012207031,291.70288,2024-11-11 00:00:00+00:00
111,AXP,288.510009765625,290.78,2024-11-12 00:00:00+00:00
112,AXP,287.6400146484375,290.4729,2024-11-13 00:00:00+00:00
113,AXP,288.29998779296875,290.52814,2024-11-14 00:00:00+00:00
114,AXP,286.8699951171875,290.7269,2024-11-15 00:00:00+00:00
115,AXP,285.5400085449219,290.59695,2024-11-18 00:00:00+00:00
