Date,Open,High,Low,Close,Adj Close,Volume,SMA15,EMA5,RSI15,BB_upper,BB_lower,MACD,MACD_signal,OBV,52_Week_High,52_Week_Low,ADX,Aroon_Up,Aroon_Down
2022-10-17,141.07000732421875,142.89999389648438,140.27000427246094,142.41000366210938,140.84939575195312,85250900,,,,,,,,85250900.0,,,,,
2022-10-18,145.49000549316406,146.6999969482422,140.61000061035156,143.75,142.1747283935547,99136600,,,,,,,,184387500.0,,,,,
2022-10-19,141.69000244140625,144.9499969482422,141.5,143.86000061035156,142.28350830078125,61758300,,,,,,,,246145800.0,,,,,
2022-10-20,143.02000427246094,145.88999938964844,142.64999389648438,143.38999938964844,141.8186798095703,64522000,,,,,,,,181623800.0,,,,,
2022-10-21,142.8699951171875,147.85000610351562,142.64999389648438,147.27000427246094,145.65615844726562,86548600,,144.13600158691406,,,,,,268172400.0,,,,,
2022-10-24,147.19000244140625,150.22999572753906,146.0,149.4499969482422,147.81224060058594,75981900,,145.90733337402344,,,,,,344154300.0,,,,,
2022-10-25,150.08999633789062,152.49000549316406,149.36000061035156,152.33999633789062,150.67059326171875,74732300,,148.05155436197919,,,,,,418886600.0,,,,,
2022-10-26,150.9600067138672,151.99000549316406,148.0399932861328,149.35000610351562,147.71336364746094,88194300,,148.48437160915802,,,,,,330692300.0,,,,,
2022-10-27,148.07000732421875,149.0500030517578,144.1300048828125,144.8000030517578,143.21322631835938,109180200,,147.2562487566913,,,,,,221512100.0,,,,,
2022-10-28,148.1999969482422,157.5,147.82000732421875,155.74000549316406,154.0333251953125,164762400,,150.0841676688489,,,,,,386274500.0,,,,,
2022-10-31,153.16000366210938,154.24000549316406,151.9199981689453,153.33999633789062,151.65963745117188,97943200,,151.1694438918628,,,,,,288331300.0,,,,,
2022-11-01,155.0800018310547,155.4499969482422,149.1300048828125,150.64999389648438,148.99913024902344,80379300,,150.99629389340333,,,,,,207952000.0,,,,,
2022-11-02,148.9499969482422,152.1699981689453,145.0,145.02999877929688,143.44070434570312,93604600,,149.00752885536787,,,,,,114347400.0,,,,,
2022-11-03,142.05999755859375,142.8000030517578,138.75,138.8800048828125,137.35809326171875,97918500,,145.63168753118276,,,,,,16428900.0,,,,,
2022-11-04,142.08999633789062,142.6699981689453,134.3800048828125,138.3800048828125,137.0906219482422,140814800,146.5760009765625,143.214459981726,,,,,,-124385900.0,,,,100.0,64.28571428571428
